longitude        latitude        elevation           val1     val2
112.9980615     49.07481114     225.7177429          59       9
112.7596871     49.07904669     224.6542206          60       9
112.5212714     49.08274502     227.0989075          61       9
112.2828198     49.08590586     232.2765656          62       9
112.0443381     49.08852916     235.0278625          63       9
111.8058316     49.09061481     237.4002533          64       9
111.5673062     49.09216275     237.4494171          65       9
111.3287674     49.09317290     235.0290070          66       9
111.0902209     49.09364523     225.3680115          67       9
110.8516722     49.09357959     216.9769592          68       9
110.6131270     49.09297625     212.6989746          69       9
110.3745910     49.09183509     213.3962708          70       9
110.1360697     49.09015617     218.2634277          71       9
109.8975687     49.08793955     224.3522491          72       9
109.6590937     49.08518530     228.9271240          73       9
109.4206504     49.08189354     234.1424408          74       9
109.1822442     49.07806439     238.7073517          75       9
108.9438809     49.07369799     233.2914429          76       9
108.7055657     49.06879451     223.8237610          77       9
108.4673048     49.06335415     218.6567230          78       9
108.2291032     49.05737709     215.2895813          79       9
107.9909670     49.05086357     210.1439972          80       9
107.7529015     49.04381384     206.8431244          81       9
107.5149121     49.03622816     205.4798126          82       9
107.2770063     49.02810689     206.1347809          83       9
107.0391845     49.01945015     206.7378998          84       9
106.8014569     49.01025843     206.1580811          85       9
106.5638280     49.00053205     201.7791290          86       9
113.0049021     49.23054792     229.2559052          59      10
112.7657124     49.23479905     229.6737061          60      10
112.5264808     49.23851092     231.2937927          61      10
112.2872132     49.24168339     234.7637329          62      10
112.0479150     49.24431634     237.3476105          63      10
111.8085917     49.24640967     239.5708923          64      10
111.5692494     49.24796330     239.7912140          65      10
111.3298936     49.24897717     236.9620667          66      10
111.0905299     49.24945124     233.4156494          67      10
110.8511641     49.24938536     222.9398651          68      10
110.6118018     49.24877980     216.5869598          69      10
110.3724487     49.24763445     217.6833954          70      10
110.1331105     49.24594935     227.4609070          71      10
109.8937929     49.24372456     232.9826355          72      10
109.6545015     49.24096018     238.6595764          73      10
109.4152421     49.23765631     242.7609711          74      10
109.1760202     49.23381307     246.4570313          75      10
108.9368417     49.22943061     235.0561829          76      10
108.6977118     49.22450910     225.7244720          77      10
108.4586367     49.21904872     219.5631866          78      10
108.2196215     49.21304969     216.6015472          79      10
107.9806724     49.20651223     212.6026917          80      10
107.7417947     49.19943659     208.7570190          81      10
107.5029939     49.19182304     208.5397949          82      10
107.2642776     49.18367193     208.8024445          83      10
107.0256461     49.17498340     208.4370728          84      10
106.7871097     49.16575793     206.9501953          85      10
106.5486732     49.15599585     202.1544800          86      10
106.3103415     49.14569751     197.4236298          87      10
106.0721220     49.13486338     193.6602173          88      10
105.8340168     49.12349373     190.3984070          89      10
105.5960310     49.11158894     187.1433716          90      10
105.3581742     49.09914968     186.9563446          91      10
105.1204482     49.08617622     185.2921906          92      10
104.8828635     49.07266934     180.1511383          93      10
104.6454216     49.05862948     176.6984863          94      10
104.4081272     49.04405684     173.7325134          95      10
104.1709848     49.02895203     173.6129761          96      10
103.9340057     49.01331602     179.3985291          97      10
113.2517523     49.38151580     234.0430145          58      11
113.0117898     49.38632367     233.0945129          59      11
112.7717791     49.39059046     233.3273010          60      11
112.5317262     49.39431601     235.1419220          61      11
112.2916367     49.39750017     240.3695526          62      11
112.0515163     49.40014282     243.1697540          63      11
111.8113709     49.40224387     242.4931793          64      11
111.5712061     49.40380336     242.4622498          65      11
111.3310275     49.40482097     240.5407104          66      11
111.0908411     49.40529679     237.5234833          67      11
110.8506525     49.40523066     232.5330200          68      11
110.6104675     49.40462287     227.8063202          69      11
110.3702918     49.40347329     228.2409821          70      11
110.1301311     49.40178198     233.3091278          71      11
109.8899912     49.39954900     237.8195801          72      11
109.6498778     49.39677443     244.0564270          73      11
109.4097967     49.39345838     250.3861389          74      11
109.1697535     49.38960098     250.2512360          75      11
108.9297541     49.38520238     236.6099854          76      11
108.6898039     49.38026274     227.3202515          77      11
108.4499090     49.37478226     221.8958893          78      11
108.2100747     49.36876113     218.3864288          79      11
107.9703071     49.36219960     216.0676117          80      11
107.7306117     49.35509793     212.7744751          81      11
107.4909939     49.34745636     214.2212372          82      11
107.2514615     49.33927526     216.6461945          83      11
107.0120149     49.33055477     212.3880005          84      11
106.7726643     49.32129538     208.9960632          85      11
106.5334146     49.31149742     201.3560791          86      11
106.2942708     49.30116124     197.4259796          87      11
106.0552404     49.29028732     194.0312805          88      11
105.8163254     49.27887591     192.3661194          89      11
105.5775310     49.26692742     194.3395081          90      11
105.3388670     49.25444252     192.3627930          91      11
105.1003351     49.24142148     191.1621094          92      11
104.8619459     49.22786508     188.4988708          93      11
104.6237015     49.21377365     181.6500549          94      11
104.3856052     49.19914760     177.5501709          95      11
104.1476629     49.18398749     181.7382660          96      11
103.9098856     49.16829425     182.6963196          97      11
103.6722709     49.15206798     182.1148834          98      11
103.4348319     49.13530980     178.8905334          99      11
103.1975685     49.11801997     174.5911865         100      11
102.9604877     49.10019926     171.6929169         101      11
102.7235947     49.08184833     173.3392181         102      11
102.4868932     49.06296775     174.2793579         103      11
102.2503935     49.04355863     173.5084534         104      11
102.0140974     49.02362143     168.1888275         105      11
101.7780059     49.00315652     162.7361298         106      11
113.2595135     49.53731129     238.7014618          58      12
113.0187249     49.54213689     237.9294891          59      12
112.7778876     49.54641943     238.2553253          60      12
112.5370076     49.55015872     240.7678986          61      12
112.2960908     49.55335463     247.1370850          62      12
112.0551426     49.55600704     248.4060364          63      12
111.8141692     49.55811584     248.1121216          64      12
111.5731761     49.55968095     248.7479401          65      12
111.3321693     49.56070231     249.1840363          66      12
111.0911544     49.56118003     243.6721344          67      12
110.8501374     49.56111365     237.2804718          68      12
110.6091239     49.56050362     233.6307831          69      12
110.3681199     49.55934980     233.9159393          70      12
110.1271311     49.55765225     237.6203308          71      12
109.8861632     49.55541102     242.3698578          72      12
109.6452221     49.55262622     248.0461121          73      12
109.4043137     49.54929793     253.2310638          74      12
109.1634436     49.54542630     249.1214752          75      12
108.9226177     49.54101147     241.0960541          76      12
108.6818416     49.53605361     229.8284607          77      12
108.4411213     49.53055291     223.5326691          78      12
108.2004622     49.52450958     220.3571320          79      12
107.9598705     49.51792387     219.2781830          80      12
107.7193518     49.51079601     220.5546875          81      12
107.4789114     49.50312628     225.4171753          82      12
107.2385574     49.49491505     228.1328735          83      12
106.9982900     49.48616244     224.0802612          84      12
106.7581196     49.47686896     214.5275269          85      12
106.5180512     49.46703493     204.1465759          86      12
106.2780898     49.45666071     199.1272125          87      12
106.0382428     49.44574679     195.3229065          88      12
105.7985126     49.43429342     193.2784424          89      12
105.5589042     49.42230100     196.3640900          90      12
105.3194275     49.40977023     202.1829987          91      12
105.0800843     49.39670136     198.6878815          92      12
104.8408852     49.38309518     204.1322937          93      12
104.6018324     49.36895204     187.1638336          94      12
104.3629293     49.35427233     183.5603333          95      12
104.1241822     49.33905667     186.2265472          96      12
103.8856012     49.32330592     186.5051727          97      12
103.6471842     49.30702032     185.1929474          98      12
103.4089451     49.29020079     181.5067444          99      12
103.1708834     49.27284769     179.1451569         100      12
102.9330061     49.25496181     176.0034485         101      12
102.6953186     49.23654381     177.8462982         102      12
102.4578245     49.21759426     184.4978333         103      12
102.2205342     49.19811428     176.7108307         104      12
101.9834496     49.17810433     171.8186646         105      12
101.7465717     49.15756481     167.2236328         106      12
101.5099125     49.13649706     162.4690552         107      12
101.2734730     49.11490150     160.7135010         108      12
113.2673276     49.69314389     243.1844940          58      13
113.0257080     49.69798730     242.8392639          59      13
112.7840384     49.70228565     244.6899414          60      13
112.5423256     49.70603877     250.8267059          61      13
112.3005756     49.70924649     255.7692108          62      13
112.0587940     49.71190870     256.6855164          63      13
111.8169869     49.71402529     254.9598389          64      13
111.5751598     49.71559619     254.6147919          65      13
111.3333189     49.71662133     255.8160248          66      13
111.0914699     49.71710067     250.9567108          67      13
110.8496187     49.71703405     243.9978790          68      13
110.6077711     49.71642176     240.8150787          69      13
110.3659330     49.71526368     240.7042236          70      13
110.1241103     49.71355985     243.3096008          71      13
109.8823087     49.71131034     249.5741425          72      13
109.6405343     49.70851524     256.1094055          73      13
109.3987928     49.70517466     257.3333740          74      13
109.1570901     49.70128872     252.8801880          75      13
108.9154320     49.69685758     244.7746124          76      13
108.6738241     49.69188140     235.4861298          77      13
108.4322727     49.68636039     228.8137665          78      13
108.1907832     49.68029474     223.9726563          79      13
107.9493618     49.67368471     222.1498566          80      13
107.7080140     49.66653054     224.1005402          81      13
107.4667455     49.65883251     227.8231201          82      13
107.2255642     49.65059098     228.7090759          83      13
106.9844704     49.64180609     226.1899261          84      13
106.7434746     49.63247833     215.0053864          85      13
106.5025818     49.62260805     208.9229736          86      13
106.2617972     49.61219560     205.2672119          87      13
106.0211283     49.60124147     198.9448395          88      13
105.7805772     49.58974592     196.4330139          89      13
105.5401492     49.57770936     193.8489990          90      13
105.2998543     49.56513247     200.4186096          91      13
105.0596943     49.55201553     206.8611450          92      13
104.8196799     49.53835933     207.2423096          93      13
104.5798133     49.52416421     197.3005981          94      13
104.3400978     49.50943058     191.3343353          95      13
104.1005400     49.49415904     190.8204193          96      13
103.8611501     49.47835048     191.3860779          97      13
103.6219267     49.46200507     189.3805084          98      13
103.3828821     49.44512387     184.8804626          99      13
103.1440158     49.42770727     182.0412750         100      13
102.9053368     49.40975588     180.9581299         101      13
102.6668495     49.39127048     181.5858154         102      13
102.4285575     49.37225161     183.0727386         103      13
102.1904715     49.35270041     181.4402466         104      13
101.9525932     49.33261736     176.4362793         105      13
101.7149238     49.31200284     171.6444397         106      13
101.4774753     49.29085822     168.1570129         107      13
101.2402486     49.26918391     166.7504883         108      13
113.5175985     49.84360363     251.1902924          57      14
113.2751967     49.84901185     251.0594788          58      14
113.0327395     49.85387318     251.3925171          59      14
112.7902319     49.85818744     254.5755005          60      14
112.5476806     49.86195445     259.4437866          61      14
112.3050917     49.86517404     259.9846497          62      14
112.0624708     49.86784611     260.9304504          63      14
111.8198241     49.86997054     260.8312683          64      14
111.5771573     49.87154725     261.0309143          65      14
111.3344766     49.87257618     261.4134521          66      14
111.0917876     49.87305730     260.7551575          67      14
110.8490964     49.87299043     256.2053223          68      14
110.6064089     49.87237588     248.2773132          69      14
110.3637309     49.87121351     246.5071564          70      14
110.1210685     49.86950351     249.3466187          71      14
109.8784275     49.86724568     259.1043396          72      14
109.6358139     49.86444023     261.8483582          73      14
109.3932336     49.86108728     260.5395813          74      14
109.1506924     49.85718696     256.0891724          75      14
108.9081964     49.85273942     249.7402496          76      14
108.6657511     49.84774483     241.7755737          77      14
108.4233628     49.84220340     235.6015930          78      14
108.1810371     49.83611532     229.8273010          79      14
107.9387802     49.82948085     225.2626495          80      14
107.6965977     49.82230023     223.7622070          81      14
107.4544953     49.81457374     222.4361420          82      14
107.2124809     49.80630176     221.2148438          83      14
106.9705551     49.79748442     218.0833588          84      14
106.7287283     49.78812222     214.6253662          85      14
106.4870055     49.77821550     212.3695831          86      14
106.2453920     49.76776462     210.1642303          87      14
106.0038954     49.75677008     206.8873291          88      14
105.7625179     49.74523213     201.5485992          89      14
105.5212648     49.73315120     199.7393494          90      14
105.2801461     49.72052796     201.4600830          91      14
105.0391637     49.70736270     205.6457520          92      14
104.7983284     49.69365621     203.3548889          93      14
104.5576424     49.67940885     197.4785919          94      14
104.3171092     49.66462101     202.5882263          95      14
104.0767353     49.64929332     193.9923706          96      14
103.8365309     49.63342666     194.3919220          97      14
103.5964948     49.61702120     191.5413666          98      14
103.3566393     49.60007803     185.6932678          99      14
103.1169649     49.58259744     184.9216156         100      14
102.8774788     49.56458022     184.2827911         101      14
102.6381854     49.54602713     187.6505432         102      14
102.3990904     49.52693860     185.0677795         103      14
102.1602033     49.50731582     183.4135284         104      14
101.9215261     49.48715930     179.9387665         105      14
101.6830599     49.46646941     176.6296082         106      14
101.4448169     49.44524753     171.9111176         107      14
101.2067980     49.42349408     170.2710266         108      14
113.7695489     49.99350907     253.1391602          56      15
113.5263652     49.99948607     253.3965759          57      15
113.2831206     50.00491434     254.5838013          58      15
113.0398200     50.00979368     258.8403015          59      15
112.7964685     50.01412393     263.4499817          60      15
112.5530728     50.01790489     264.7214355          61      15
112.3096391     50.02113642     261.5289001          62      15
112.0661732     50.02381839     261.5089417          63      15
111.8226811     50.02595070     264.3368530          64      15
111.5791688     50.02753326     265.5290833          65      15
111.3356423     50.02856601     268.3097229          66      15
111.0921075     50.02904891     267.2544556          67      15
110.8485705     50.02898180     264.6446533          68      15
110.6050372     50.02836496     260.4721985          69      15
110.3615135     50.02719828     253.9616852          70      15
110.1180056     50.02548180     257.9691467          71      15
109.8745194     50.02321560     263.5024109          72      15
109.6310606     50.02039989     265.5874939          73      15
109.3876357     50.01703451     263.7232666          74      15
109.1442502     50.01311974     260.3950500          75      15
108.9009104     50.00865572     259.6683655          76      15
108.6576218     50.00364262     257.0279846          77      15
108.4143909     49.99808066     249.7584381          78      15
108.1712232     49.99197003     235.5506287          79      15
107.9281250     49.98531099     227.9140625          80      15
107.6851020     49.97810379     224.5365601          81      15
107.4421599     49.97034870     222.1413727          82      15
107.1993068     49.96204611     218.6951141          83      15
106.9565432     49.95319615     216.4471741          84      15
106.7138796     49.94379932     214.5900574          85      15
106.4713211     49.93385597     213.6121826          86      15
106.2288731     49.92336647     213.1633911          87      15
105.9865431     49.91233130     212.3423615          88      15
105.7443334     49.90075074     210.5727997          89      15
105.5022495     49.88862520     204.0160675          90      15
105.2603015     49.87595538     199.8903503          91      15
105.0184911     49.86274155     196.3153076          92      15
104.7768293     49.84898452     199.2292023          93      15
104.5353184     49.83468464     199.3787842          94      15
104.2939619     49.81984232     201.4626312          95      15
104.0527663     49.80445819     200.1179962          96      15
103.8117420     49.78853313     199.5145569          97      15
103.5708877     49.77206732     194.9088745          98      15
103.3302159     49.75506186     187.6697693          99      15
103.0897271     49.73751703     186.9591217         100      15
102.8494284     49.71943364     186.7750549         101      15
102.6093254     49.70081238     188.2248993         102      15
102.3694210     49.68165375     185.6874542         103      15
102.1297276     49.66195918     184.8192749         104      15
101.8902462     49.64172881     182.7126007         105      15
101.6509780     49.62096317     178.5718536         106      15
101.4119352     49.59966363     176.3411560         107      15
101.1731189     49.57783064     174.9421692         108      15
113.7792249     50.14940303     253.7934570          56      16
113.5351931     50.15540220     254.7418976          57      16
113.2910999     50.16085061     256.7301636          58      16
113.0469500     50.16574806     260.4954529          59      16
112.8027487     50.17009438     266.3421326          60      16
112.5585027     50.17388938     268.4808655          61      16
112.3142184     50.17713291     267.3464355          62      16
112.0699015     50.17982483     268.7530823          63      16
111.8255581     50.18196506     271.0053101          64      16
111.5811943     50.18355349     272.5406799          65      16
111.3368161     50.18459008     272.4969788          66      16
111.0924296     50.18507477     271.6644592          67      16
110.8480409     50.18500755     269.0794983          68      16
110.6036558     50.18438842     266.1137695          69      16
110.3592806     50.18321741     263.2896729          70      16
110.1149212     50.18149456     263.3268127          71      16
109.8705838     50.17921994     266.6833496          72      16
109.6262742     50.17639364     268.9097290          73      16
109.3819987     50.17301577     265.0609741          74      16
109.1377629     50.16908660     262.1463318          75      16
108.8935734     50.16460601     262.1997986          76      16
108.6494357     50.15957432     261.2122803          77      16
108.4053563     50.15399171     255.3247681          78      16
108.1613407     50.14785842     240.0559540          79      16
107.9173954     50.14117468     231.2556763          80      16
107.6735260     50.13394076     226.9955444          81      16
107.4297385     50.12615692     227.4008484          82      16
107.1860408     50.11782356     221.5565186          83      16
106.9424335     50.10894081     218.6814117          84      16
106.6989274     50.09950918     218.3257904          85      16
106.4555274     50.08952901     215.6295929          86      16
106.2122390     50.07900068     214.8929443          87      16
105.9690700     50.06792468     214.5612488          88      16
105.7260225     50.05630128     212.3105469          89      16
105.4831021     50.04413091     206.2272186          90      16
105.2403189     50.03141425     202.1452026          91      16
104.9976749     50.01815160     198.9322052          92      16
104.7551810     50.00434377     200.5512543          93      16
104.5128396     49.98999110     209.3392944          94      16
104.2706541     49.97509403     212.3262329          95      16
104.0286313     49.95965316     209.6897888          96      16
103.7867815     49.94366940     204.3501129          97      16
103.5451035     49.92714293     198.4526367          98      16
103.3036099     49.91007485     191.1005249          99      16
103.0623011     49.89246546     188.1569214         100      16
102.8211845     49.87431556     188.1315460         101      16
102.5802655     49.85562585     190.4041138         102      16
102.3395473     49.83639684     190.0921326         103      16
102.0990421     49.81662983     188.2209320         104      16
101.8587512     49.79632523     186.9516296         105      16
101.6186757     49.77548359     182.6102905         106      16
101.3788279     49.75410602     180.0715942         107      16
101.1392089     49.73219308     178.3976898         108      16
